iter	Passed	Remaining
0	1473	424493
1	2802	402127
2	3703	353087
3	4703	335103
4	5445	309331
5	6495	306351
6	7559	304535
7	8635	303307
8	9844	306271
9	11737	327473
10	12685	320608
11	14392	332236
12	15174	322158
13	15903	312398
14	16856	307915
15	18062	308186
16	18827	301244
17	19880	299318118	20718	294426
19	21671	291477
20	22780	290718221	23916	290253
22	25101	290302
23	26894	296957
24	27875	294370
25	28713	290446
26	29979	290908
27	31157	290435
28	31880	285829
29	32882	283888
30	33807	281362
31	34849	279882
32	35699	276942
33	36575	274315
34	37672	273396
35	39305	276228
36	40041	272713
37	41115	271580
38	41908	268646
39	42902	267065
40	43754	264659
41	44460	261472
42	45526	260454
43	46211	257316
44	47043	255082
45	48205	254648
46	49231	253489
47	50137	251732
48	51031	249952
49	51928	248218
50	53069	247657
51	54098	246565
52	55028	245033
53	56217	244648
54	57336	243942
55	58341	242742
56	59217	241024
57	59925	238668
58	60833	237148
59	61865	236120
60	62656	234192
61	63646	233027
62	64498	231376
63	66394	233417
64	67205	231601
65	68023	229835
66	68700	227635
67	69999	227498
68	70990	226344
69	71755	224491
70	72577	222845
71	73538	221637
72	74209	219577
73	74918	217669
74	75948	216705
75	77019	215857
76	77790	214175
77	79181	214195
78	80157	213075
79	81147	211997
80	82199	211079
81	83006	209539
82	83935	208321
83	85239	208025
84	86326	207182
85	87198	205829
86	88234	204867
87	88990	203261
88	89648	201457
89	90478	200057
90	91532	199159
91	92442	197946
92	93421	196889
93	94609	196264
94	95715	195460
95	96558	194122
96	97871	193724
97	98906	192766
98	99847	191626
99	100960	190815
100	101621	189156
101	102718	188317
102	103503	186909
103	104433	185770
104	105230	184403
105	106245	1834210106	107274	182466
107	108627	182051
108	109740	181222
109	110504	179821
110	111370	178594
111	112391	177619
112	113180	176280
113	114016	175025
114	114777	173663
115	116023	173035
116	117034	172051
117	117857	1707911118	118772	1696711119	119910	168873
120	120601	1674412121	121368	1661312122	122550	165393
123	123698	164598
124	124777	163708
125	125760	1626812126	126542	1614112127	127587	160480
128	128694	159621
129	129677	158605
130	130722	157665
131	131875	156851
132	132583	155512
133	133720	154676
134	134560	153498
135	135530	152472
136	136409	151344
137	137769	150748
138	139040	150043
139	139983	148981
140	140904	147899
141	141975	146974
142	142932	145930
143	143887	144887
144	144751	143753
145	145655	142662
146	146654	141666
147	147515	140538
148	148171	139221
149	149185	138245
150	150055	137137
151	150779	13152	1152	151878	13153	1153	152658	13154	1154	153431	13155	1155	154278	13156	154834	130179
157	155840	129209
158	156841	128235
159	157863	127277
160	158699	126171
161	159701	125197
162	160938	124406
163	161862	123370
164	162766	122321
165	163540	121177
166	164315	120038
167	165236	119009
168	166231	118034
169	167365	117155
170	168213	116077
171	169142	115056
172	170290	114183
173	171497	113346
174	172687	112493
175	173496	111392
176	174276	110276
177	175283	109306
178	175989	108150
179	176822	107075
180	177674	106016
181	178361	104861
182	179190	103793
183	180323	102901
184	181314	101928
185	181948	100756
186	182584	99591
187	183361	98507
188	184857	97807
189	185784	96803
190	186741	95815
191	187727	94841
192	188714	93868
193	189663	92876
194	190257	91713
195	191178	90712
196	192063	89694
197	192717	88572
198	193571	87544
199	194444	86527
200	195317	85512
201	196380	84579
202	196962	83442
203	197590	82329
204	198218	81221
205	199138	80235
206	199643	79085
207	200321	78009
208	201250	77033
209	202309	76106
210	203138	75094
211	203888	74053
212	204400	72931
213	205196	71914
214	206035	70914
215	206718	69863
216	207534	68859
217	208403	67874
218	209300	66899
219	210082	65889
220	210860	64880
221	211972	63973
222	212774	62973
223	213522	61959
224	214268	60947
225	215098	59961
226	215829	58949
227	216507	57925
228	217218	56913
229	217898	55895
230	218594	54885
231	219257	53869
232	220106	52901
233	221232	51999
234	221760	50957
235	222582	49986
236	223272	48987
237	224114	48024
238	224957	47062
239	225800	46101
240	226472	45106
241	227434	44171
242	228344	43225
243	228947	42224
244	229818	41273
245	230655	40317
246	231232	39318
247	232183	38385
248	232881	37410
249	233923	36492
250	234734	35537
251	235374	34558
252	236052	33588
253	236718	32618
254	237266	31635
255	237905	30667
256	238474	29693
257	239270	28749
258	239877	27785
259	240539	26829
260	241016	25856
261	241989	24937
262	242772	24000
263	243601	23068
264	244213	22117
265	245021	21186
266	245729	20247
267	246419	19308
268	247090	18371
269	247778	17436
270	248526	16507
271	249105	15569
272	249670	14632
273	250242	13699
274	250802	12768
275	251370	11839
276	252192	10925
277	252798	10002
278	253462	9084
279	253899	8161
280	254439	7243
281	254897	6327
282	255328	5413
	254972	4488
284	255511	3586
285	256014	2685
286	256344	1786
287	256577	890
288	256755	0
85	0
